Horodateur,Êtes-vous ?,Dans quelle tranche d'âge êtes-vous ? ,"Allez-vous au musée ou à une exposition et à quelle fréquence ?
(si ""non"", vous pouvez répondre à cette question et envoyer le questionnaire tel quel)","Dans quel cadre allez-vous voir une exposition ou visiter un musée ?
(plusieurs réponses possibles)","Qu'est-ce qui vous motive / vous donne envie de faire cette sortie ? 
(plusieurs réponses possibles)","Lors de la visite, utilisez-vous un audioguide ?",Pourquoi ? Qu'est-ce qui vous pousse à prendre ou non l'audioguide en plus de la visite ?,"Les audioguides proposent parfois des parcours à thème (œuvres incontournables, enfant, spécial roi de France, spécial œuvres de femmes, etc.), les utilisez-vous ?","Les audioguides ont parfois un écran sur lequel vous pouvez interagir, avec des informations supplémentaires (plan d'une carte, portrait d'un peintre, etc.)",Vous est-il arrivé d'utiliser une application mobile comme audioguide ? ,Que pensez-vous de l'idée de proposer un audioguide sur votre téléphone ?,Pourquoi ?,"Un musée vous propose les deux options, que prenez-vous ?",Pourquoi ?,"S'il existait une application unique qui propose un audioguide pour plusieurs musées ou expositions, seriez-vous prêt à la télécharger et/ou à la garder sur votre téléphone après une visite ?","S'il existait un format podcast d'une visite guidée, un audio de 1h qui vous guide tout au long de la visite et ne nécessite pas d'interaction avec le téléphone, seriez-vous intéressé ?","De même, si un intervenant de ce podcast est une personne que vous connaissez (influenceur, personnalité culturelle connue, etc.) ?",Quel type de contenu audio fonctionne le mieux avec vous ? ,Remarques
07/07/2025 12:46:40,Une femme,18-25,Oui - Environ tous les mois,Avec des amis,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Parfois (40-60% du temps),"Tout dépend du musée : s’il s’agit d’un grand musée comme le Louvre, avec de belles œuvres qui se suffisent à elles mêmes, alors moins besoin de l’audioguide car : du fait du grand nombre d’œuvres, on a souvent juste envie de se balader et de contempler celles qui accroche notre regard. EN revanche, petit musée, petite sélection d’œuvre, on a envie de comprendre ce que l’on voit car sinon la visite se ferait en 1 min et serait trop énigmatique = choix de l’audioguide. Selon moi :)",oui,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Oui,,"Barrière à l’entrée pour personne pas à l’aise avec le numérique, parfois telephone avec un stockage plein, envie de garder sa batterie etc. MAIS quand ces conditions sont bonnes, l’application est beaucoup plus attractive! ",Les applications mobiles,Le Nokia pas esthétique et touché par des milliers de personnes auparavant bon.. mais belle application hyper esthétique et intuitive c’est intéressant. ,Oui,,,,"Archi oui a la dernière question. Le pb de l’appli: devoir en télécharger une à chaque musée. 1 application far qui peut se retrouver dans plusieurs musées, et qui, au delà de la fonction d’audioguide, peut être utile pour apprendre des petites anecdotes ou autre : c’est cool! Je t’aime infiniment "
08/10/2025 15:23:05,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),"C’est mieux de parler avec ses proches sur les œuvres et découvrir avec son propre point de vue, souvent les audio guide sont « barbant »",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,C’est plus ludique et personnel ,Les applications mobiles,,Non,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.","Je ne suis pas très cliente daudioguide bien que je fasse bcp d’expos mais je pense oui que ce qui me pousserai à le faire ce serait l’aspect design et ludique de la chose pouvoir interagir, que ce soit par phase pas une perosnne qui nous ‘tunnel » tout le long avec plein d’information parfois pas toute intéressante et bien expliqué. Je préfère les anecdotes, le storytelling, l’émotion le côté ludique et design "
08/10/2025 15:23:32,Une femme,18-25,"Oui, 1 à 4 fois par an",Avec des amis,"Apprendre / s'instruire, Passer du temps avec vos proches, Vous divertir",A de rares occasions (20-40% du temps),,oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,,Les applications mobiles,,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:25:25,Un homme,18-25,"Oui, 4 à 8 fois par an","Seul, En famille","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Parfois (40-60% du temps),Pour comprendre la langue ou pour avoir une expérience plus immersive,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime bien,,L'audioguide classique,,Oui,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:28:44,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),"J’utilise un audio guide pour des expositions à l’étranger. Mais en France , les légendes suffisent à mon goût :) COUCOU LE G ",non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime beaucoup,"Plus facile sur les démarches, par exemple un QR code c’est cool ( différent d’une application à télécharger car contraignant )",,,Non,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Faudrait qu’on aille se prendre un verre un de ces quatre. Signée : ta camarade de sup de com 
08/10/2025 15:29:01,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis",Contempler et voir de belles oeuvres,A de rares occasions (20-40% du temps),"L’audioguide peut apporter plus de précisions, mais majoritairement je préfère contempler sans (pour expositions photo par exemple) ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,plus de praticité ,Les applications mobiles,"plus pratique, sûrement plus simple de retenir les informations en effectuant captures d’écran ",Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:29:13,Une femme,25-40,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"Pas le réflexe de le prendre, peur que l’explication ne soit pas assez synthétique. ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime beaucoup,Avec les habitudes d’utilisation du téléphone et la facilité qu’ont les gens d’utiliser leur téléphone ça peut être un bon compromis ,Les applications mobiles,Plus à l’aise avec mon téléphone ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:29:51,Une femme,18-25,"Oui, environ tous les mois",Avec des amis,Apprendre / s'instruire,A de rares occasions (20-40% du temps),Le prix ,oui,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime bien,J’aime bien mais je trouve que nous sommes déjà assez sur notre téléphone pour l’être aussi au musée ,Les applications mobiles,Plus pratique quand ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Étant jeune je pense que l’appli pourrait arranger bcp de monde mais pour des personnes plus âgés ça pourrait être plus compliqué à mettre en place 
08/10/2025 15:31:06,Une femme,18-25,"Oui, plusieurs fois par mois","Seul, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"J’aime bien aller à mon propre rythme et lire les cartels des œuvres, sans suivre. Mais ça peut être utile quand c’est un domaine que je ne connais pas ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,Je n'aime pas,"Pas forcément de réseau, de batterie, pas accessible au grand public (handicap, problèmes de vue, personnes âgées) ",L'audioguide classique,Plus intuitif et simple,Non,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Force pour le mémoire 
08/10/2025 15:36:56,Une femme,18-25,"Oui, 4 à 8 fois par an","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,,Les applications mobiles,"plus simple, plus fluide",Non,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:40:11,Une femme,18-25,"Oui, 4 à 8 fois par an","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),Les audios guides sont souvent payants en plus ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,Ça permet de pas avoir de coût en plus,L'audioguide classique,Si c’est gratuit je préfère quand même l’effet de l’audio guide classique pour ne pas dépendre tout le temps du téléphone et du réseau ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:41:08,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",A de rares occasions (20-40% du temps),Si j’ai besoin d’informations et qu’il n’y a rien en papier ou si audio guide est payant je ne prends pas ,,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,Si il y a de la connexion oui ,L'audioguide classique,"C’est plus sympas et ambiance musee, économisée de la batterie ",Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 15:43:31,Une femme,25-40,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),Avoir plus d’informations ,non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,Je n'aime pas,"Ca implique de télécharger une appli et de donner mes infos tels que numéro, mail, date de naissance, etc ",L'audioguide classique,Pour ne pas interagir avec mon téléphone ,Non,Oui,"Oui, je n'y prête pas d'importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 15:50:52,Une femme,40-65,"Oui, 1 à 4 fois par an",En famille,"Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Parfois (40-60% du temps),Avoir l’information directement sans devoir lire,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime bien,Pratique,L'audioguide classique,Pas besoin de télécharger … ,Non,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:01:00,Un homme,25-40,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Vous divertir",A de rares occasions (20-40% du temps),Avoir des infos pertinentes en plus ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,Pratique ,L'audioguide classique,Ça évite d’être sur son téléphone personnel,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:07:00,Une femme,18-25,"Oui, 4 à 8 fois par an","Seul, En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",A de rares occasions (20-40% du temps),Prix/ longueur des explications orales par œuvre ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,Pratique car tout le monde a un téléphone ,L'audioguide classique,Ça m’évite quand même d’installer une application ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Bravo pour ton mémoire ! Hélo 
08/10/2025 16:10:14,Un homme,25-40,"Oui, 1 à 4 fois par an","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),Le tarif,non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime beaucoup,,Les applications mobiles,,Oui,Oui,"Oui, encore plus","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 16:12:18,Un homme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Parfois (40-60% du temps),Avoir des informations supplémentaires qui ont leurs importances + s'introduire plus facilement dans l'univers + la facilité et la liberté de mouvement,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime beaucoup,"Parce que l'essentiel des informations passent par le biais de nos téléphones. C'est également facile à utiliser et me paraît être la suite logique des choses. Il est également possible de se connecter à ses airpods, donc pas nécessaire d'avoir un fil qui connecte les écouteurs à l'audioguide.",Les applications mobiles,Plus simple et au goût du jour.,Oui,Non,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:15:30,Une femme,65+,"Oui, 4 à 8 fois par an",Seul,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Souvent (60-80% du temps),Mieux comprendre ,oui,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,Je n'aime pas,Difficile de télécharger.....pas d'écouteurs.....,L'audioguide classique,Trop compliqué ,Non,Non,"Non, je n'y prête pas d'importance","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",
08/10/2025 16:16:02,Une femme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Parfois (40-60% du temps),"Pour avoir des explications claires, précises et complètes. ",oui,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Oui,J'aime bien,On fait défiler à notre rythme les explications et c'est sur mon smartphone personnel. ,L'audioguide classique,"Je n'ai pas envie d'utiliser le smartphone dans tous les domaines,  le travail,  l'école,  les loisirs, la détente.....",Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:24:03,Une femme,18-25,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis","Contempler et voir de belles oeuvres, Vous reposer, Vous divertir",A de rares occasions (20-40% du temps),"Car il y a souvent la queue et je préfère ne pas être déranger par un audio guide et lire moi même les textes inscrit, l’histoire ne m’intéresse pas forcément (oups) ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,"C’est plus pratique, ça ne demande pas de faire la queue pour le récupérer, on connaît déjà le support (notre téléphone). Après si c’est une application ça peut être un peu « contraignant » de devoir installer l’application, peut être le faire sur un site internet serait plus intelligent mais effectivement moins efficace peut être. ",Les applications mobiles,"Ça reste tout de même plus pratique et on peut faire plus de choses avec.  Un peu comme l’application de Disney Land qui est utilisé juste pour le parc mais très utile.  ( Je sais c’est pas le même contexte mais c’est pour dire que même si c’est moins efficace de télécharger une appli au moins quand elle est téléchargée, elle serre bien à quelque chose) ",Oui,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.","Je voulais juste faire une remarque au vue de la création d’une application. Ça serait vraiment cool qu’il existe effectivement une application qui répertorie toutes les expos et musées car pour le téléchargement il y aurait une vrai utilité. Plutôt que d’utiliser plusieurs applis par musée. 
Voilà merci guilhem! J’espère que mes réponses vont t’aider ehh"
08/10/2025 16:25:27,Un homme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Souvent (60-80% du temps),Pour traduction en français à l'étranger,oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,Pratique et consultable après visite ,L'audioguide classique,Car pas toujours d'écouteur pour le mobile,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:27:39,Un homme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),"L’audioguide détourne souvent mon attention et fait rater des détails, etc. ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,Je n'aime pas,Je trouve que ça casse un peu le côté historique du musée justement. Mais + pratique que l’audioguide classique.,Les applications mobiles,Plus pratique ,Oui,Non,"Oui, je change d'avis","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",
08/10/2025 16:30:56,Une femme,40-65,"Oui, 1 à 4 fois par an","Seul, En famille","Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"Je n'apprécie pas les audioguides , je trouve que ça  présente très peu d'intérêt de regarder un écran lors d'une visite je préfère découvrir directement avec mes yeux, sans avoir un tas d'informations qui peuvent être parfois inutiles ",non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,Je n'aime pas du tout,Comme il est très justement mentionné dans les propositions de réponses'' ça parasite l'expérience ''( pour moi c'est tout à fait ça) et je préfère lire les affichages- panneaux,,Aucune des 2 ...les gens passent assez de temps sur des écrans pour en faire encore autant dans un musée ,Non,Non,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Je regrette cette époque par le fait que les gens ne savent plus apprécier de belles visites sans être accroché à leur téléphone pour prendre tout en photo ou avoir les yeux  sur un audioguide
08/10/2025 16:32:18,Une femme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),je n’ai jamais testé mais je pense que ça me déconcentrerait et de plus il me semble que c’est souvent payant,non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,J'aime bien,probablement plus fluide d’utilisation et moins encombrant ,Les applications mobiles,meme reponse ,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.","dans une des questions il est demandé si on utiliserait l’application après la visite (j’ai peut être raté le pendant, mais je trouve cela plus pertinent pendant qu’après)"
08/10/2025 16:33:41,Un homme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Souvent (60-80% du temps),Besoin d'entendre pour comprendre ,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime beaucoup,Facilité de prise en main,Les applications mobiles,Habitude ...,Oui,Non,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:33:47,Une femme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Parfois (40-60% du temps),"Si il est gratuit, si j’y vais pour visiter un musée d’histoire",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,"C’est intuitif, ça ne prend pas de place (pas besoin de porter un audioguide en plus). Ce qui me freine : lorsqu’il faut installer une appli ou se créer un compte ",L'audioguide classique,J’aime regarder l’œuvre et avoir la description en même temps. Sur une application mobile on a pas mal les yeux sur l’écran ,Non,Oui,"Oui, je n'y prête pas d'importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 16:34:34,Une femme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",A de rares occasions (20-40% du temps),"Il n’y en a pas toujours
Ça dépend des autres propositions en particulier des visites guidées (je préfère)
Ça dépend du surcoût ",non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Oui,J'aime bien,C’est plus simple à mon avis et plus hygiénique ,Les applications mobiles,Cf plus haut…,Non,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:42:16,Une femme,40-65,"Oui, 4 à 8 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Parfois (40-60% du temps),"Ce qui pousse : bien comprendre les œuvres ou l'exposition ; ce qui rebute : la longueur trop importante de certains commentaires, mais aussi le fait qu'on ne se parle plus entre nous si chacun a son écouteur !",oui,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime beaucoup,Afin de ne pas multiplier les supports qui ne sont pas très écologiques !,L'audioguide classique,Parce que pour le moment mon téléphone n'a pas trop de mémoire pour installer des applications !!!!,Oui,Oui,"Oui, encore plus","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 16:46:43,Un homme,18-25,"Oui, 1 à 4 fois par an","Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),"Pour des soucis de langues, pour mieux comprendre, parce que c'est parfois ludique",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,"C'est ludique, plus attractif ",L'audioguide classique,Pour je pas à avoir a désinstaller une application après ,Oui,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:49:11,Un homme,18-25,Non,,,,,,,,,,,,,,,,
