Horodateur,Êtes-vous ?,Dans quelle tranche d'âge êtes-vous ? ,"Allez-vous au musée ou à une exposition et à quelle fréquence ?
08/10/2025 16:49:44,Une femme,12-18,"Oui, 4 à 8 fois par an",En famille,Contempler et voir de belles oeuvres,Parfois (40-60% du temps),Pour mieux comprendre.,oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,"C'est très bien mais pour ce qui n'ont pas de téléphone (ex: enfants),c'est pas terrible.",L'audioguide classique,C'est parfois plus simple et rapide.,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 16:52:55,Une femme,18-25,Non,"En famille, Avec des amis","Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Souvent (60-80% du temps),"Ça dépend du musée, ça dépend de l’exposition ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,Pourquoi pas ! Ça peut être une bonne idée et une bonne solution pour s’instruire tout en s’amusant ,Les applications mobiles,"Je serai plus à l’aise je pense, après l’audio guide classique me va aussi mais j’aime pas les écouteurs généralement fourni :(",Non,Oui,"Oui, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Courage pour ton mémoire ! 
08/10/2025 16:58:25,Une femme,25-40,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Presque jamais (0-20% du temps),Enfants trop jeunes donc difficulté à prendre le temps d'écouter l'audioguide,non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime bien,Plus simple moins d'objets en mains,Les applications mobiles,Si c'est fluide dans l'accès en appli sinon je prends l'audio guide classique,Oui,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 17:10:58,Un homme,18-25,Non,,,,,,,,,,,,,,,,
08/10/2025 17:22:58,Une femme,40-65,"Oui, 4 à 8 fois par an","En famille, Cadre scolaire / universitaire","Apprendre / s'instruire, Vous divertir",Souvent (60-80% du temps),Éviter de lire les panneaux ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,En direct,L'audioguide classique,Évite de télécharger une application ,Oui,Non,"Non, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 17:29:04,Un homme,18-25,"Oui, environ tous les mois","Seul, En famille","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Presque jamais (0-20% du temps),"1. L’audioguide est parfois payant  2. L’audioguide ne m’est pas forcément nécessaire et m’empêche d’avoir une réflexion critique vis-à-vis des oeuvres (position passive en tant que visiteur si je suis l’audioguide). 3. L’audioguide me destabilise et me rend moins libre dans ma visite (trop d’informations à gérer : visiteurs autour de moi, oeuvres à regarder, écouter dans le flux des visiteurs…)",non,,Non,Je n'aime pas,"Quand je vais au musée, c’est l’un des seuls moments où je peux me divertir, me reposer et passer un bon moment sans distraction numérique. Je ne suis pas sûr qu’il soit nécessaire d’avoir un écran supplémentaire dans ce cadre là, mais ce n’est que mon opinion.",L'audioguide classique,"Parce qu’il faudrait installer l’application, et je préfère me couper de mes notifications pour me concentrer dans la visite.",Non,Oui,"Non, encore moins","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 17:39:25,Un homme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),,oui,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,J'aime bien,Facilite,L'audioguide classique,Rien à installé,Oui,Oui,"Oui, j'y prête une importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 17:41:12,Un homme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,,Les applications mobiles,,Oui,Oui,"Oui, j'y prête une importance","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",
08/10/2025 18:02:18,Une femme,18-25,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),"des fois juste besoin de regarder sans avoir des écouteurs souvent pas agréables et des voix un peu robotisées, pas très moderne quoi ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime beaucoup,"déjà tu peux mettre tes propres écouteurs, c’est bête mais c’est déjà plus agréable, ensuite peut être qu’il y aurait plus de possibilités : si sur le moment on veut plutôt lire qu’écouter (ou l’inverse) 
ensuite l’interface peut être + sympa et moderne comme on aime donc ça peut aider 
quelque chose de pas vieux enfait on veut 
peut être voir aussi pour plusieurs versions ? jsp mais quand on est jeune on a besoin que ça aille vite, qu’il y ait pleins d’anecdotes avec du langage peut être plus courant que pour des personnes plus âgées qui préfèrent les choses plus formelles ",Les applications mobiles,+ pratique et pour les raisons que j’ai mis au dessus ,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",bon courage mon guigui !! (zoé)
08/10/2025 18:02:39,Un homme,18-25,"Oui, 4 à 8 fois par an","Seul, En famille, Avec des amis","Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),Je le prends que c’est obligatoire ou fortement fortement recommandé ou gratuit ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,Facile d’utilité,L'audioguide classique,,Oui,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 18:04:20,Une femme,18-25,"Oui, 4 à 8 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Parfois (40-60% du temps),S’instruire ,non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime beaucoup,Plus facile ,L'audioguide classique,Pratique ,Oui,Oui,"Oui, j'y prête une importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 18:22:30,Une femme,18-25,"Oui, plusieurs fois par mois","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Presque jamais (0-20% du temps),Je préfère discuter de mon ressenti avec les personnes qui m'entoure / j'apprécie plus le calme ,non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime bien,C'est moins contraignant d'un point de vue pratique ,L'audioguide classique,Je préfère avoir le sentiment d'être déconnectée de mon téléphone ,Oui,Oui,"Oui, j'y prête une importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Bon courage !! 
08/10/2025 18:45:18,Une femme,40-65,"Oui, 4 à 8 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Vous divertir",Parfois (40-60% du temps),Avoir un complément d’info,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,Je n'aime pas,"Utiliser son téléphone « coupe » dans la concentration car possibilité de réception de messages, notifs etc…",L'audioguide classique,Cf ci dessus,Non,Oui,"Non, je n'y prête pas d'importance",,
08/10/2025 18:47:40,Une femme,18-25,"Oui, environ tous les mois","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",A de rares occasions (20-40% du temps),Le prix ,oui,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Oui,J'aime beaucoup,Plus pratique et gratuit !,L'audioguide classique,Audioguide classique si c'est gratuit. Les applications mobiles prennent du stockage de téléphone et mettent du temps à s'installer ,Oui,Non,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Bon courage Guilhem pour ton mémoire ! 🫶
08/10/2025 18:50:32,,,,Seul,,,,,,,,,,,,,,,
08/10/2025 18:53:11,Un homme,65+,Non,Seul,Vous reposer,Presque toujours (80-100% du temps),,oui,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,Je n'aime pas,,,,Non,Non,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 20:11:58,Une femme,18-25,"Oui, 4 à 8 fois par an",Seul,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous reposer, Vous divertir",Presque jamais (0-20% du temps),,non,,Oui,J'aime bien,,L'audioguide classique,,Non,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 20:38:40,Un homme,40-65,"Oui, environ tous les mois",En famille,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",A de rares occasions (20-40% du temps),Le sujet ,oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime beaucoup,Simple et rapide d’utilisation ,Les applications mobiles,Personnalisé ,Oui,Oui,"Oui, j'y prête une importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 20:45:51,Une femme,18-25,"Oui, environ tous les mois","Seul, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Parfois (40-60% du temps),Quand je ne le prends pas c’est parce qu’il y a d’autres sources d’explicatives ou que ça ne n’ai pas l’impression que ce soit essentiel. Ou que l’audioguide répète ce qu’il y a déjà d’indiquer ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,,L'audioguide classique,"Pour l’expérience 100% expo, pour vraiment couper avec mon tel ",Oui,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 21:17:23,Un homme,18-25,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),"Je préfère visiter « plus librement », à mon propre rythme ",non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime bien,,L'audioguide classique,,Oui,Oui,"Oui, j'y prête une importance",,
08/10/2025 21:19:07,Une femme,40-65,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Presque jamais (0-20% du temps),Le surcoût parfois ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,C'est pratique ,L'audioguide classique,Ça demande de télécharger l'application je suppose,Oui,Oui,"Oui, j'y prête une importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
08/10/2025 21:30:07,Une femme,18-25,"Oui, 1 à 4 fois par an",Avec des amis,"Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Presque jamais (0-20% du temps),"J'avoue que je ne regarde jamais si les musées proposent des audio guide parce que j'aime bien aller à mon rythme et regarder et lire s'il y'a un petit texte à côté de l'œuvre. Puis j'aime pas trop le fait de porter un casque (déjà porté par 46 milles personnes) avec une petite console et se balader avec, pour moi ça se fait forcément seule vu qu'on écoute un truc ça permet pas forcément l'interaction avec ses potes",non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,J'aime bien,"Ça peut être sympa parce que ça devient bcp plus accessible, et encore mieux si c'était gratuit 😃",Les applications mobiles,Je répète la réponse mais je trouve ça plus accessible puis aussi le fait que c'est sur mon propre téléphone donc plus hygiénique    ,Oui,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Toppp juste à un moment une question qui se répète un peu je trouve mais sinon je trouve le concept très cool 
08/10/2025 21:55:01,Une femme,18-25,"Oui, 1 à 4 fois par an","Seul, En famille, Avec des amis",Apprendre / s'instruire,Presque jamais (0-20% du temps),Coûte un peu plus cher de prendre un audio guide en général ,non,,Oui,J'aime beaucoup,"C’est plus simple d’utilisation, au niveau de la logistique également ",Les applications mobiles,"L’aspect pratique du téléphone, ne pas avoir plusieurs appareil dans la main. Souvent les audio guides proposés sont assez « anciens » avec des écouteurs filaires qui ne sont plus adaptés… ",Oui,Oui,"Oui, j'y prête une importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 22:33:49,Une femme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Contempler et voir de belles oeuvres, Vous divertir",Parfois (40-60% du temps),"Parfois il est obligatoire, lorsqu il ne l’est pas, souvent je ne le prends pas ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime bien,,Les applications mobiles,,Oui,Non,"Oui, je change d'avis","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
08/10/2025 22:48:48,Une femme,18-25,"Oui, environ tous les mois","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres",A de rares occasions (20-40% du temps),"Le prix, alors que nous ne sommes pas certains de la valeur ajoutée de prendre un audio guide plutôt que les infos dispo sur notre téléphone ou dans les guides écrits ",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,J'aime beaucoup,Plus pratique ,Les applications mobiles,Plus simple ,Oui,Oui,"Non, je n'y prête pas d'importance","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",Bon courage ! 
08/10/2025 22:53:38,Un homme,40-65,"Oui, 4 à 8 fois par an","Seul, En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Presque jamais (0-20% du temps),Il est nécessaire à la visite ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,Je n'aime pas,"La qualité dépend de la qualité du réseau, du type de téléphone, des capacités de réception data et nécessite des écouteurs que tous n’ont pas. L’utilisation d’un wifi publique n’est pas gage de sécurité et peut mettre en danger l’intégrité du téléphone ",L'audioguide classique,Si sur son propre téléphone pour des raisons de sécurité ,Non,Non,"Non, je change d'avis","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",
08/10/2025 23:34:35,Une femme,25-40,"Oui, 4 à 8 fois par an","Seul, En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous reposer",Presque toujours (80-100% du temps),"Je veux apprendre, me plonger dans le contexte et l'histoire du lieu/des objets exposés",oui,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,Je n'aime pas,Je n'apprécie pas une application en plus pour les questions RGPD,L'audioguide classique,Pas d'application non-sécurisée en plus sur mon téléphone,Non,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.","Le point faible des applis est la sensibilité de la protection des donnés personnelles. Mais en soi, pourquoi pas. Pendant les visites j'apprécie le numérique qui peut projeter des photos d'époque ou tout autre moyen pour donner plus de contexte, plus d'ambiance du temps expliqué/époque du peintre/etc. Bon courage pour votre travail!"
08/10/2025 23:54:30,Une femme,18-25,"Oui, 1 à 4 fois par an",Avec des amis,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),Je n’ai jamais essayé l’audioguide mais j’ai l’impression que c’est ennuyeux et pas dynamique ni humain. ,,,Non,J'aime bien,Plus facile d’accès et d’utilisation ,Les applications mobiles,,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
09/10/2025 05:40:45,Une femme,25-40,Non,,,,,,,,,,,,,,,,
09/10/2025 13:31:04,Une femme,18-25,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Vous divertir",Parfois (40-60% du temps),"Apprendre plus de choses sur les oeuvres proposer. N'étant pas spécialiste de l'art, l'uadioguide permet de nous donner une description détaillée des oeuvres ( contexte, artiste etc... ). C'est facile d'utilisation. On se promène et l'uadioguide défile en même temps ce qui rends l'expérience plus vivante. ",non,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime beaucoup,Pratique,Les applications mobiles,Une application à télécharger peut être plus simple que de récupérer du matériel au musée. C'est plus rapide ,Oui,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",Bon courage pour le mémoire. Sujet méga intéressant <3
09/10/2025 15:06:14,Un homme,40-65,"Oui, 1 à 4 fois par an",En famille,"Apprendre / s'instruire, Vous divertir",Presque jamais (0-20% du temps),Information plus complete ,non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Oui,J'aime bien,Cela varietas les supports,L'audioguide classique,Réseau parfois defaillant,Oui,Oui,"Oui, j'y prête une importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
09/10/2025 16:09:41,Une femme,25-40,"Oui, 1 à 4 fois par an",Seul,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",Parfois (40-60% du temps),"Le prix, l’alternative de la visite guidée.",non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,Je n'aime pas,"Ça exclue les personnes n’ayant pas de smartphone.
Trop d’utilisation de la batterie
Pas compatible avec l’appareil photo",L'audioguide classique,Prend de la place dans le téléphone ,Non,Non,"Non, encore moins","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
09/10/2025 17:26:18,Une femme,25-40,"Oui, 1 à 4 fois par an",Seul,"Apprendre / s'instruire, Contempler et voir de belles oeuvres, Vous divertir",A de rares occasions (20-40% du temps),La nécessité d'en apprendre plus sur l'histoire ou le contexte,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Non,Je n'aime pas,Pas très intéressant et inclusif pour les personnes âgées ou n'ayant pas l'habitude de ce type d'usage,L'audioguide classique,Pas besoin d'installer une appli supplémentaire,Non,Non,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
09/10/2025 18:23:11,Une femme,40-65,"Oui, 4 à 8 fois par an","Seul, En famille","Apprendre / s'instruire, Contempler et voir de belles oeuvres",Souvent (60-80% du temps),Pour mieux comprendre l exposition ,non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,Je n'aime pas du tout,Car je préfère éteindre complètement mon téléphone quand je suis dans un musée ,L'audioguide classique,Pour ne pas regarder mon tel ,Non,Oui,"Non, je n'y prête pas d'importance","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
09/10/2025 18:45:06,Un homme,65+,"Oui, 4 à 8 fois par an",En famille,Contempler et voir de belles oeuvres,A de rares occasions (20-40% du temps),Mieux comprendre ce que je vois,non,"Je n'aime pas trop, je n'utilise pas instinctivement et préfère juste écouter l'audio",Non,J'aime bien,Il me semble que ça pourrait être un plus,Les applications mobiles,Je préfère voir plutôt qu'ecouter,Oui,Oui,"Non, je n'y prête pas d'importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
10/10/2025 08:18:25,Un homme,40-65,"Oui, 1 à 4 fois par an",En famille,"Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Presque jamais (0-20% du temps),Souvent trop de textes et infos sur l'audiovisuel guide . Donc moins de temps pour admirer les œuvres ,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,J'aime bien,Aussi une question d'hygiène. Je préfère utiliser mon propre appareil ,Les applications mobiles,Facilite de navigation avec mon téléphone que je connais bien,Oui,Oui,"Oui, encore plus","Ton chaleureux, utilisation de verbes simples et d'anecdotes pour faciliter la compréhension.",
10/10/2025 09:53:07,Un homme,40-65,"Oui, 1 à 4 fois par an","En famille, Avec des amis","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches",Souvent (60-80% du temps),Se donner la chance d'apprendre davantage et disposer d'un outil ludique,non,"J'aime bien, je regarde de temps en temps et j'apprécie dans certains contextes",Oui,Je n'aime pas,"Trop d'applications téléchargées sur mon tél et, ici, pour un seul usage",L'audioguide classique,Ne pas télécharger une appli de plus,Oui,Oui,"Non, je n'y prête pas d'importance","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",
10/10/2025 21:53:15,Une femme,40-65,"Oui, 4 à 8 fois par an","Seul, En famille","Apprendre / s'instruire, Contempler et voir de belles oeuvres",A de rares occasions (20-40% du temps),On devient plus dépendant du rythme de visite imposé ,non,"Je n'aime pas du tout, je ne regarde jamais et trouve que cela parasite l'expérience",Non,Je n'aime pas du tout,,L'audioguide classique,,Non,Non,"Non, je n'y prête pas d'importance",,
12/10/2025 18:14:43,Une femme,25-40,"Oui, environ tous les mois",Seul,"Apprendre / s'instruire, Contempler et voir de belles oeuvres",Presque jamais (0-20% du temps),"Je préfère parfois me rapprocher d'un groupe avec un médiateur et écouter en direct, ou effectuer mon parcours de visite à mon rythme. Je ne ressent pas un besoin d'immersion supplémentaire avec un audioguide car voir les œuvres me suffit !",non,,Non,Je n'aime pas,Je trouve que cela change la façon dont on observe les œuvres et sur notre propre téléphone ça en devient peut-être trop familier dans le sens ou l'on est déjà beaucoup sur notre téléphone..  Je n'arrive pas trop à comprendre pourquoi ce besoin de médiation numérique (sauf peut-être pour les personnes avec un handicap),L'audioguide classique,"Par défaut, car l'audioguide même si c'est une forme de médiation muséale, cela reste ""proposé par le musée"" en utilisant leur outil. ",Non,Non,"Non, je n'y prête pas d'importance","Ton neutre, sans trop d'émotions pour délivrer une information concise et efficace.",
15/10/2025 21:47:31,Une femme,40-65,"Oui, 1 à 4 fois par an","En famille, Avec des amis, Cadre scolaire / universitaire","Apprendre / s'instruire, Contempler et voir de belles oeuvres, Passer du temps avec vos proches, Vous divertir",Souvent (60-80% du temps),le côté payant ou non / l'aspect ludique,oui,"J'aime beaucoup, ça me permet de compléter la visite et je regarde souvent",Non,J'aime beaucoup,pas d'appareil supplémentaire,Les applications mobiles,"je connais mon portable, les liens et l'approche ",Oui,Oui,"Oui, j'y prête une importance","Ton soutenu, vocabulaire technique, permettant l'exactitude et la qualité de l'information.",